Location,Indicator,Period,First Tooltip
Egypt,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,34.4 [27.2-41.3]
Egypt,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,34.8 [27.7-41.6]
Egypt,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,35.1 [28.3-41.8]
Egypt,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,35.4 [28.8-42.0]
Egypt,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,35.5 [29.3-42.3]
Egypt,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,35.6 [29.6-42.4]
Egypt,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,35.9 [29.8-42.8]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,10.4 [4.9-21.1]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,10.1 [5.2-19.3]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,9.9 [5.3-17.9]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,9.8 [5.6-17.2]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,9.7 [5.8-16.3]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,9.7 [6.0-15.5]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,9.6 [6.1-14.9]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,9.7 [6.4-14.5]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,9.7 [6.5-14.2]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,9.8 [6.7-14.0]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,9.9 [6.9-13.9]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,10.0 [7.1-13.9]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,10.1 [7.2-14.0]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,10.2 [7.3-14.0]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,10.3 [7.5-14.0]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,10.4 [7.6-14.0]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,10.5 [7.7-14.1]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,10.7 [7.8-14.4]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,10.8 [7.9-14.9]
El Salvador,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,11.1 [7.9-15.4]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,44.2 [28.8-60.8]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,44.3 [30.2-59.3]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,44.6 [31.5-58.2]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,45.0 [32.5-57.5]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,45.4 [33.3-57.3]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,45.8 [34.0-57.0]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,46.4 [35.1-57.1]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,46.9 [36.0-57.1]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,47.6 [36.5-57.7]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,48.3 [37.3-58.6]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,49.1 [37.7-59.5]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,49.9 [38.6-60.7]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,50.8 [39.1-61.8]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,51.6 [39.4-62.9]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,52.4 [40.2-63.9]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,53.1 [40.6-65.2]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,53.9 [41.0-66.6]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,54.6 [41.1-67.6]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,55.4 [41.4-68.9]
Equatorial Guinea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,56.3 [41.5-70.1]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,36.7 [17.6-62.3]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,36.4 [17.9-60.9]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,36.2 [18.1-59.7]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,36.1 [18.6-59.5]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,35.9 [18.8-58.5]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,35.7 [18.9-58.2]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,35.7 [18.9-58.3]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,35.7 [19.0-58.3]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,35.9 [19.0-58.5]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,36.2 [19.2-58.8]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,36.6 [19.7-59.5]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,37.1 [20.0-60.0]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,37.6 [20.2-60.4]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,38.2 [20.9-61.1]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,38.7 [21.4-62.2]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,39.1 [21.8-62.3]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,39.5 [22.4-63.0]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,39.9 [22.5-63.9]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,40.3 [22.8-63.9]
Eritrea,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,40.8 [22.7-64.7]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,21.7 [8.7-41.4]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,21.4 [9.0-40.4]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,21.3 [9.3-40.0]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,21.2 [9.4-39.6]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,21.1 [9.4-39.2]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,21.0 [9.5-38.5]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,20.7 [9.4-38.2]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,20.7 [9.4-38.0]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,20.6 [9.3-38.1]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,20.5 [9.3-38.2]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,20.4 [9.2-38.1]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,20.4 [9.2-38.2]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,20.6 [9.3-38.6]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,20.8 [9.4-38.8]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,20.8 [9.5-38.8]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,20.9 [9.5-39.3]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,21.1 [9.6-39.5]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,21.2 [9.5-40.0]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,21.3 [9.5-40.3]
Estonia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,21.6 [9.4-41.0]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,30.6 [15.3-50.1]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,30.2 [16.2-48.4]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,29.9 [17.0-46.5]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,29.7 [17.8-44.5]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,29.6 [18.5-43.0]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,29.6 [19.3-41.8]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,29.7 [19.9-41.3]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,29.8 [20.5-40.7]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,30.0 [21.1-40.3]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,30.3 [21.6-40.3]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,30.6 [22.1-40.5]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,30.8 [22.4-40.5]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,30.7 [22.4-40.4]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,30.9 [22.2-40.8]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,31.2 [22.3-41.5]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,31.6 [22.3-42.2]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,32.1 [22.3-43.1]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,32.7 [22.2-44.4]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,33.3 [22.1-45.9]
Eswatini,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,34.3 [22.3-48.2]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,23.5 [16.0-33.0]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,22.9 [16.7-30.8]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,22.5 [17.0-28.8]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,22.2 [17.2-27.6]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,21.9 [17.4-27.1]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,21.7 [17.3-26.7]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,21.6 [17.4-26.9]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,21.8 [17.4-27.1]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,22.0 [17.4-27.6]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,22.6 [17.7-28.7]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,23.3 [18.1-30.0]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,24.3 [18.7-31.4]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,25.4 [19.3-33.2]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,26.5 [20.1-35.2]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,27.6 [20.7-36.7]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,28.7 [21.3-38.5]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,29.7 [22.0-40.0]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,30.6 [22.3-41.7]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,31.5 [22.6-43.6]
Ethiopia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,32.4 [22.7-46.1]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,31.5 [17.1-47.5]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,31.2 [18.1-46.0]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,31.1 [19.0-44.6]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,31.0 [20.0-43.4]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,30.8 [20.6-42.4]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,30.8 [21.1-41.4]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,30.8 [21.8-40.3]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,30.9 [22.1-39.9]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,30.9 [22.4-39.4]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,31.0 [22.7-39.2]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,31.1 [22.8-39.2]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,31.4 [23.1-39.5]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,31.7 [23.1-39.9]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,31.9 [23.1-40.2]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,32.2 [23.2-40.6]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,32.5 [23.0-41.6]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,32.7 [23.0-42.4]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,33.1 [22.7-43.3]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,33.6 [22.5-44.7]
Fiji,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,34.1 [22.1-46.5]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,10.7 [5.3-25.2]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,10.5 [5.4-23.3]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,10.2 [5.4-22.7]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,10.0 [5.4-21.8]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,9.8 [5.5-20.9]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,9.7 [5.5-20.3]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,9.6 [5.4-20.1]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,9.5 [5.4-19.9]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,9.4 [5.3-19.8]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,9.4 [5.3-19.6]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,9.4 [5.3-19.8]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,9.5 [5.3-19.9]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,9.5 [5.4-20.4]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,9.6 [5.4-20.7]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,9.7 [5.4-21.1]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,9.8 [5.4-21.3]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,9.9 [5.5-21.5]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,10.0 [5.5-21.5]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,10.1 [5.5-21.7]
Finland,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,10.3 [5.5-22.1]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,10.4 [5.6-21.5]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,10.1 [5.6-20.0]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,9.8 [5.6-18.4]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,9.5 [5.6-17.0]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,9.2 [5.6-15.9]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,8.9 [5.6-15.1]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,8.7 [5.6-14.5]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,8.6 [5.6-14.2]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,8.5 [5.5-13.9]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,8.4 [5.5-13.8]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,8.4 [5.5-13.8]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,8.4 [5.5-13.8]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,8.4 [5.5-13.6]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,8.3 [5.4-13.5]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,8.3 [5.4-13.5]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,8.2 [5.3-13.5]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,8.2 [5.3-13.4]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,8.1 [5.2-13.7]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,8.1 [5.1-13.7]
France,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,8.2 [5.0-14.3]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,52.4 [35.3-69.6]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,52.8 [36.4-68.9]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,53.2 [37.7-68.0]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,53.6 [38.5-67.6]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,54.0 [39.5-67.3]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,54.4 [40.2-67.2]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,54.9 [40.8-67.1]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,55.4 [41.3-67.3]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,55.9 [41.9-67.9]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,56.3 [42.4-68.3]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,56.7 [42.7-68.8]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,57.1 [42.9-69.4]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,57.4 [43.0-70.0]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,57.8 [42.8-70.6]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,58.0 [43.2-71.0]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,58.2 [42.9-71.5]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,58.3 [42.6-72.0]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,58.4 [42.7-72.6]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,58.5 [42.7-72.8]
Gabon,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,58.6 [42.4-73.3]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,48.9 [42.0-56.6]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,50.1 [43.7-57.2]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,51.2 [44.8-57.9]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,52.4 [45.8-59.2]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,53.5 [46.7-60.6]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,54.5 [47.1-61.9]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,55.3 [47.5-63.1]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,56.2 [47.9-64.2]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,57.0 [48.0-65.4]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,57.7 [48.2-66.5]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,58.4 [48.6-67.5]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,59.1 [49.0-68.4]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,59.7 [49.2-69.4]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,60.2 [49.4-70.2]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,60.6 [49.5-71.0]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,61.1 [49.8-71.8]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,61.4 [50.1-72.4]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,61.7 [50.1-73.3]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,61.9 [50.3-73.8]
Gambia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,62.2 [49.8-74.6]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,27.5 [14.5-42.9]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,27.2 [15.3-41.1]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,26.9 [15.9-39.6]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,26.8 [16.6-38.4]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,26.8 [17.5-37.1]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,26.8 [18.2-36.5]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,26.8 [18.8-35.9]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,26.9 [19.4-35.3]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,27.1 [20.0-35.1]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,27.4 [20.7-35.2]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,27.7 [21.0-35.2]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,27.9 [21.4-35.3]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,28.3 [21.7-35.5]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,28.7 [21.9-35.9]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,28.9 [21.9-36.2]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,29.3 [22.0-37.2]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,29.9 [22.1-38.7]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,30.4 [21.9-39.8]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,31.0 [21.8-41.3]
Georgia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,31.6 [21.8-42.8]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,11.6 [6.0-24.1]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,11.1 [6.1-21.9]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,10.7 [6.1-20.5]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,10.4 [6.1-19.2]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,10.1 [6.1-18.2]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,9.8 [6.0-17.3]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,9.6 [6.0-16.5]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,9.5 [5.9-16.0]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,9.4 [5.9-15.9]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,9.3 [5.9-15.6]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,9.3 [5.9-15.3]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,9.3 [5.9-15.3]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,9.3 [5.9-15.4]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,9.3 [5.9-15.5]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,9.4 [5.9-15.6]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,9.4 [5.9-15.6]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,9.5 [6.0-15.7]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,9.5 [6.0-15.9]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,9.6 [6.0-16.3]
Germany,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,9.7 [6.0-16.8]
Ghana,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,34.5 [23.5-47.7]
Ghana,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,35.6 [25.6-47.0]
Ghana,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,36.9 [27.9-47.0]
Ghana,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,38.4 [30.3-47.3]
Ghana,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,39.8 [32.1-48.0]
